399,352,dawolfsclaw,581716,452
219,162,FoTheWin,59553623,467
716,643,Pants are Dragon,22403576,1002
469,414,GangstahSwerve,40984753,757
316,250,joong ki song,76379684,611
415,336,DQWjdqwdqwx,77599094,507
133,69,KT Khan,88399275,468
657,594,Wiggily,20130821,992
336,282,5fire,21202019,466
630,565,W0WFIXZ,36400685,759
573,525,Revenge,77211676,418
715,630,Fragas,25214214,460
738,654,blaberfish2,19839806,1242
363,310,fwii,19296564,502
460,368,Saaantorin,60329217,1126
1545,1488,FaZe Insanity,37481045,696
152,78,sun x,24345673,481
123,73,lozt,89909122,726
301,245,Zeyzal,23350752,487
159,83,Nugeek,86912471,497
393,329,Linsaníty,21498922,814
233,173,Lyo,67105577,485
705,637,PrismaI,22447403,835
383,326,NoahMost,23479635,538
521,471,Allorim,24671130,655
233,140,i need some suga,50169258,550
157,118,import top,86869085,469
584,535,Warum denkst du,70359148,522
1065,1027,Weeknd,32178528,451
266,217,Jayms,30936371,487
424,352,Ablazeolive,446965,1021
378,295,stuntopolis,35592112,468
585,514,Liquid Matt,68301925,630
207,145,CookiesforSanta,23887566,527
119,47,OMG CIoud,54805628,468
923,877,Andybendy,21103810,515
321,264,Terina,43652327,477
312,213,Ashˉ,23032750,676
172,123,yeedam,24154639,493
671,606,Teesum,20962399,799
488,437,Be Like Ñeøø,75900909,517
372,299,5tunt,68401488,646
381,316,FaZe Hard,47836799,796
611,559,Scrandor,23245665,591
191,138,Pretty Raheem,51589239,469
695,646,Day after Day,20694079,461
442,394,Hopelesz,68469257,490
254,159,HairySixPack,19067259,454
453,395,NintendudeX,74673,544
561,472,Vïper,77269277,1083
285,202,MLGB BIade,40036262,1120
520,444,salsasister17,77539883,762
477,397,Dylaran,33679978,468
313,253,CC Dean,37931849,472
554,477,Soligo,38880034,846
487,441,Tanner Damonte,32672912,535
1129,1065,The Tank Man,40661961,715
749,703,Zergyy,21144092,457
422,380,freelancer,20142680,476
100,40,Duo Abuse,89881848,463
627,552,Gaow Gaiy,21366420,690
339,285,salt on bench,31423432,526
664,617,Cris,19770082,534
457,394,bobqinX,60805480,457
668,602,PieCakeLord,35703236,526
865,809,Wintèr,77211704,605
320,263,Midnight Train,73759385,469
288,233,Acoldblazeolive,30366254,679
245,183,Manifest,22014010,695
376,319,DJNDREE5,40629656,452
319,268,Bobjenkins,27519370,453
441,390,Coach is Beyond,21106779,557
276,150,MLGB Top,22139097,482
247,180,tebomb2,21728063,476
229,147,FaZe KatEvolved,19864171,732
174,104,950725,72481333,514
244,178,LittleFrosty,40131405,598
271,182,bobqin1,27796007,536
285,215,MLGB Clown,83552233,548
846,809,dog2,21193032,529
265,214,Ssita,75871549,545
244,156,TakatsukiSen,37512500,707
246,189,Value,24858283,610
758,688,EleJiggle,22701102,446
340,282,MlST LFT,28982480,485
249,189,KeegunS,62250480,702
265,193,tummysalami,32544079,535
425,355,ybooks,20359372,816
523,422,UUmeiDe55Kai,65279879,471
481,419,Autolycus1,32225785,515
608,559,OneseIf,170340,484
566,505,FaZe Joey,66929247,684
677,623,MeNoHaxor,71715,458
777,720,KiNG Nidhogg,37827053,486
420,354,C9 Sneaky,51405,667
688,634,Piggy Kitten,30266347,662
372,316,Chimonaa1,26114733,486
402,354,Falcon God,32705024,481
317,262,mvsh,72411076,639
237,181,Hakuho,21193669,693
516,449,FaZe Antihero,19088327,597
296,239,Soulmario,47401142,462
318,255,FaZe LOD,57539163,584
246,197,zignature,19787999,464
360,283,Rallemus,87749107,983
333,273,5word,41258646,609
667,605,Pobelter,2648,715
218,165,NomoreChallenger,22717034,459
560,463,Game1234,88490180,529
1099,1047,rhubarbs,37532228,574
436,381,Pekin Woof,21903966,651
357,291,CLA Tuesday,20202108,482
650,604,Shout,22670229,476
588,516,Grigne,21542029,962
367,259,The Wild Wiggler,20403437,468
158,102,LHHS,75099245,463
812,758,rovex,39957695,487
317,243,CHIEF KEITH,79681807,653
124,83,i need smth fake,86869244,481
96,32,TF Blade,89120799,459
481,397,Isaac Marconis,24017482,758
335,288,chowdong,21794465,474
107,58,TheYeungle,87749127,466
189,140,Líquid Matt,39040566,465
138,85,humans can fly,28712666,484
348,284,Keegun,68603405,833
533,462,dawolfsfang,579475,933
801,753,Tuesdayy,34022147,503
491,445,Lebron Jamés ,29533033,530
276,210,Lethal Zedster,432695,570
336,266,XueGao,70132282,774
482,426,Never Been,42018127,463
348,295,lron Pyrite,21014987,456
301,208,Tony Top,19587365,467
464,415,goldenglue,21490433,476
516,458,Ivan Pavlov,25166026,616
1004,947,Vulcan1,21276764,798
257,199,bobqinXD,21701239,525
545,485,Jue VioIe Grace,34925733,761
315,262,YIlIlIlIlI,56901374,469
175,84,fwii Tryn,19543076,478
439,344,Johnsun,20315488,1144
1080,1050,LL Stylish,56539172,521
302,241,MLGB TailsJJ,48700341,480
1289,1244,Hungry Like,19062645,388
451,399,Apollo Price,7250,603
916,873,Rohammers,20112175,535
320,262,Event,21623482,508
1339,1292,Shiphtur,19967304,625
377,315,Chapanya,20833616,637
386,338,Kazahana,36119978,472
134,58,MotionPlan598,83312491,468
1249,1205,Śhady,59189004,545
320,232,Teamfighting,61727429,700
262,211,Caspica,48193601,476
398,343,Eitori,37832463,513
713,678,Yang Neng Jin,21747804,463
292,228,Spica 16,80301228,582
212,140,fulano,48637590,963
764,706,Erry,28663867,624
399,347,Pyrites,34270960,596
470,422,Morïarty,20636732,462
329,271,way life goes,78739091,572
1287,1246,godrjsdnd,52316360,442
850,772,singed420,24997024,406
286,226,Super Metroid,292926,477
621,579,Kingslayer Sheep,20962682,528
586,501,fox grig,20918669,950
508,449,Doublelift,20132258,641
248,172,MikeYeunglol,83640709,606
528,482,Liquid fabbbyyy,34287847,517
472,401,Imaqtpie,19887289,988
1221,1165,Leagué,30045762,509
259,177,nihonjin,86459717,535
370,256,Papìllon,21295651,511
644,583, Sudzzi,19920510,818
426,372,FNRIR,51580106,454
216,142,Mirolla,66939106,725
344,281,TFW SaoZi,65709516,468
493,447,Brother Dyrus,71749871,513
360,282,Rikara,21124626,861
310,246,Jurãssiq,38375098,480
232,175,Phaxen,20793637,575
238,166,Baekk,20598223,499
461,371,duoshark1,50363420,545
466,412,MooseHater,44841787,486
347,303,EvanRL,21557951,456
603,542,Tmoney,20078731,517
185,96,loiˉ,22685289,853
353,299,Quantum Fizzics,20082683,469
459,405,FaZe Càm,35570736,488
493,431,Peridot,65875,551
216,156,Tawnington,29799673,475
634,583,amoría,22654107,577
387,324,LucLogic,24220969,471
234,182,RobbyBob,51680686,488
449,376,FaZe Shoryu,38911162,848
1047,978,Julien,36111109,847
189,106,Ahigholive,69113290,622
302,196,MLGB Błade,48407989,1127
